timestamp,roll,pitch,yaw
1525807146516205,0.0258051,-0.368486,0.367021
1525807146537274,0.0265354,-0.368243,0.366767
1525807146553241,0.0237324,-0.368684,0.365779
1525807146576238,0.0190963,-0.369932,0.365025
1525807146606207,0.0169326,-0.371138,0.364561
1525807146613221,0.0187703,-0.372722,0.36401
1525807146636211,0.0221982,-0.373967,0.363404
1525807146659234,0.0261482,-0.374427,0.362808
1525807146673221,0.026713,-0.375142,0.36246
1525807146696208,0.0252565,-0.375867,0.362118
1525807146719206,0.0257661,-0.376081,0.361905
1525807146733206,0.0278731,-0.374955,0.361866
1525807146756217,0.0314093,-0.373452,0.361916
1525807146779216,0.0343785,-0.370987,0.361965
1525807146799239,0.0354692,-0.368852,0.360835
1525807146816217,0.0345637,-0.368229,0.359468
1525807146839232,0.0315053,-0.368267,0.358893
1525807146853239,0.027233,-0.368207,0.358166
1525807146882238,0.0257617,-0.36676,0.35727
1525807146899230,0.0301865,-0.365795,0.356833
1525807146913238,0.0329879,-0.365915,0.356575
1525807146936210,0.0310702,-0.366175,0.356412
1525807146958282,0.0295362,-0.366287,0.356455
1525807146973360,0.0296939,-0.366575,0.35668
1525807146996375,0.0305086,-0.366973,0.356662
1525807147018327,0.0312961,-0.367017,0.357152
1525807147033361,0.0328389,-0.36672,0.35801
1525807147056431,0.0357047,-0.365897,0.358975
1525807147078404,0.0383192,-0.363989,0.358983
1525807147099466,0.0379044,-0.362827,0.357526
1525807147116433,0.0353641,-0.363917,0.355858
1525807147138399,0.0300597,-0.365072,0.355453
1525807147159467,0.0273088,-0.365305,0.35507
1525807147176432,0.0297086,-0.364449,0.354486
1525807147198423,0.0347696,-0.364205,0.353939
1525807147219473,0.036946,-0.364469,0.353564
1525807147236506,0.0357122,-0.364616,0.353291
1525807147258476,0.0316423,-0.3646,0.35276
1525807147279504,0.0304269,-0.364381,0.352728
1525807147296482,0.0306662,-0.364704,0.3532
1525807147318486,0.031946,-0.364544,0.353201
1525807147339481,0.0320885,-0.36396,0.353667
1525807147356507,0.0326553,-0.362734,0.354568
1525807147378483,0.0337744,-0.361478,0.355849
1525807147399505,0.0339019,-0.359784,0.356807
1525807147416476,0.0320185,-0.359511,0.355629
1525807147439538,0.0322822,-0.360757,0.354343
1525807147459506,0.0281738,-0.361572,0.35535
1525807147476539,0.0241443,-0.363121,0.355848
1525807147498475,0.0267237,-0.36369,0.355025
1525807147521559,0.0314126,-0.363647,0.354922
1525807147536561,0.0332181,-0.364235,0.354867
1525807147558533,0.0316013,-0.364073,0.354909
1525807147581577,0.0297022,-0.363847,0.355107
1525807147596558,0.028199,-0.364105,0.35552
1525807147618533,0.0272783,-0.364588,0.355949
1525807147641597,0.0271289,-0.363998,0.357355
1525807147655529,0.0309367,-0.363012,0.358923
1525807147678610,0.032574,-0.360734,0.360473
1525807147701599,0.0340073,-0.35899,0.360569
1525807147715621,0.0346208,-0.358443,0.359828
1525807147738599,0.031133,-0.359548,0.359822
1525807147761598,0.0258448,-0.361117,0.360297
1525807147775598,0.02195,-0.362037,0.360022
1525807147798664,0.0258158,-0.361213,0.359678
1525807147820753,0.0315554,-0.360635,0.359888
1525807147835754,0.03267,-0.360612,0.360081
1525807147858729,0.0300236,-0.360865,0.359802
1525807147880743,0.0277461,-0.360558,0.359452
1525807147895726,0.025762,-0.360955,0.359565
1525807147918821,0.0246237,-0.360745,0.359757
1525807147941798,0.0246285,-0.360293,0.360882
