timestamp,x,y,z,w
1525807145583961,-0.0472412,0.184326,-0.182251,-0.964722
1525807145594965,-0.048645,0.184387,-0.183777,-0.964355
1525807145616947,-0.0490723,0.18396,-0.184509,-0.964233
1525807145636945,-0.0484009,0.183289,-0.184753,-0.964355
1525807145654964,-0.0465088,0.183289,-0.184631,-0.964478
1525807145676946,-0.0456543,0.183228,-0.184387,-0.9646
1525807145699971,-0.0458374,0.182739,-0.184814,-0.9646
1525807145714094,-0.0463867,0.182129,-0.185486,-0.964539
1525807145737028,-0.0465088,0.181519,-0.186218,-0.964478
1525807145757034,-0.0463867,0.180969,-0.186951,-0.964478
1525807145774060,-0.0457764,0.180603,-0.187561,-0.964478
1525807145797028,-0.045105,0.180359,-0.187988,-0.964417
1525807145816040,-0.0447388,0.17981,-0.188599,-0.964417
1525807145834061,-0.0448608,0.179565,-0.188721,-0.964478
1525807145864057,-0.0447998,0.179932,-0.188599,-0.964417
1525807145901094,-0.043335,0.180786,-0.188293,-0.964355
1525807145903060,-0.0419312,0.181519,-0.187866,-0.964417
1525807145916029,-0.0424194,0.181702,-0.187561,-0.964417
1525807145937031,-0.043335,0.181519,-0.187378,-0.964417
1525807145954066,-0.0441895,0.181274,-0.187256,-0.964478
1525807145976032,-0.0441284,0.181335,-0.186768,-0.964539
1525807145997059,-0.0435791,0.181824,-0.186401,-0.964539
1525807146014030,-0.0432739,0.182251,-0.186523,-0.964478
1525807146036033,-0.0444946,0.182373,-0.187073,-0.964294
1525807146057077,-0.0452271,0.182861,-0.187378,-0.964111
1525807146074061,-0.0440063,0.183533,-0.186646,-0.964172
1525807146096029,-0.0431519,0.184143,-0.186523,-0.964111
1525807146117094,-0.0420532,0.185242,-0.186401,-0.963989
1525807146134094,-0.0419922,0.186035,-0.186401,-0.963806
1525807146156039,-0.0439453,0.185913,-0.186646,-0.963684
1525807146179077,-0.0460205,0.185425,-0.186951,-0.963623
1525807146194061,-0.0465088,0.185242,-0.187134,-0.963623
1525807146216033,-0.0466309,0.184937,-0.187073,-0.963684
1525807146237066,-0.0474243,0.184265,-0.187134,-0.963745
1525807146254028,-0.0479736,0.182983,-0.186951,-0.96405
1525807146276036,-0.0490112,0.181885,-0.186768,-0.964233
1525807146297061,-0.0488281,0.181335,-0.18573,-0.964539
1525807146314039,-0.0474854,0.180786,-0.184387,-0.964966
1525807146336036,-0.0459595,0.180298,-0.183289,-0.965332
1525807146357155,-0.0457153,0.179749,-0.182312,-0.965637
1525807146373274,-0.046936,0.178955,-0.181946,-0.965759
1525807146396224,-0.0480347,0.178223,-0.181702,-0.965881
1525807146417222,-0.0471191,0.178101,-0.181274,-0.966064
1525807146440205,-0.0455322,0.178162,-0.180847,-0.966187
1525807146456206,-0.0443115,0.178528,-0.180664,-0.966248
1525807146477272,-0.0437012,0.178711,-0.180786,-0.966187
1525807146493220,-0.0446167,0.178223,-0.181213,-0.966187
1525807146516205,-0.0458984,0.177795,-0.181702,-0.966064
1525807146537274,-0.0462036,0.177612,-0.181641,-0.966125
1525807146553241,-0.0447998,0.178101,-0.180908,-0.966248
1525807146576238,-0.0426025,0.179138,-0.180115,-0.966309
1525807146606207,-0.041626,0.179932,-0.179688,-0.966248
1525807146613221,-0.0426025,0.180542,-0.179565,-0.966125
1525807146636211,-0.0443115,0.180847,-0.179565,-0.966003
1525807146659234,-0.0462036,0.180725,-0.179626,-0.965942
1525807146673221,-0.0465088,0.18103,-0.179504,-0.965881
1525807146696208,-0.0458374,0.181519,-0.179199,-0.965881
1525807146719206,-0.0460815,0.18158,-0.179138,-0.965881
1525807146733206,-0.0469971,0.180847,-0.179321,-0.965942
1525807146756217,-0.048584,0.17981,-0.179688,-0.965942
1525807146779216,-0.0498047,0.178345,-0.179993,-0.966125
1525807146799239,-0.0500488,0.177246,-0.179565,-0.96637
1525807146816217,-0.0494385,0.177063,-0.178833,-0.966553
1525807146839232,-0.0479126,0.177368,-0.178284,-0.966675
1525807146853239,-0.0457764,0.177734,-0.177551,-0.966858
1525807146882238,-0.0448608,0.177185,-0.177002,-0.967102
1525807146899230,-0.046875,0.176331,-0.177185,-0.967163
1525807146913238,-0.0482178,0.176147,-0.177307,-0.967102
1525807146936210,-0.0473022,0.176453,-0.177063,-0.967102
1525807146958282,-0.0465698,0.176636,-0.176941,-0.967163
1525807146973360,-0.0466919,0.176758,-0.177063,-0.967102
1525807146996375,-0.0471191,0.17688,-0.177124,-0.967041
1525807147018327,-0.0475464,0.176819,-0.177429,-0.96698
1525807147033361,-0.0483398,0.176514,-0.177979,-0.966919
1525807147056431,-0.0497437,0.175842,-0.178711,-0.966797
1525807147078404,-0.0508423,0.174683,-0.178955,-0.966919
1525807147099466,-0.050415,0.174194,-0.178223,-0.967163
1525807147116433,-0.0491333,0.174988,-0.177185,-0.967285
1525807147138399,-0.0466309,0.176025,-0.176514,-0.967346
1525807147159467,-0.0452881,0.176392,-0.176086,-0.967407
1525807147176432,-0.0463257,0.175781,-0.176025,-0.967468
1525807147198423,-0.0487061,0.175232,-0.176208,-0.967407
1525807147219473,-0.0497437,0.175171,-0.176208,-0.967407
1525807147236506,-0.0491333,0.175354,-0.175964,-0.967468
1525807147258476,-0.0471191,0.17572,-0.175354,-0.96759
1525807147279504,-0.0465088,0.17572,-0.175232,-0.967651
1525807147296482,-0.0466919,0.175842,-0.175476,-0.96759
1525807147318486,-0.0473022,0.175659,-0.175598,-0.967529
1525807147339481,-0.0473633,0.175354,-0.175842,-0.967529
1525807147356507,-0.0476074,0.174683,-0.176331,-0.96759
1525807147378483,-0.0481567,0.17395,-0.177063,-0.967529
1525807147399505,-0.0481567,0.173096,-0.177551,-0.96759
1525807147416476,-0.0471191,0.173157,-0.176819,-0.967773
1525807147439538,-0.0472412,0.173767,-0.176208,-0.967773
1525807147459506,-0.0454102,0.1745,-0.176331,-0.967712
1525807147476539,-0.0436401,0.175598,-0.176208,-0.96759
1525807147498475,-0.0448608,0.175659,-0.176025,-0.96759
1525807147521559,-0.0471191,0.175232,-0.176392,-0.967468
1525807147536561,-0.0480347,0.175354,-0.176514,-0.967407
1525807147558533,-0.0472412,0.175415,-0.176392,-0.967468
1525807147581577,-0.0463257,0.175476,-0.176331,-0.967468
1525807147596558,-0.0456543,0.17572,-0.176392,-0.967468
1525807147618533,-0.0452881,0.176025,-0.176514,-0.967407
1525807147641597,-0.0452881,0.17572,-0.177185,-0.967346
1525807147655529,-0.0471802,0.174866,-0.178284,-0.967224
1525807147678610,-0.0479126,0.173584,-0.179199,-0.967224
1525807147701599,-0.0484619,0.172607,-0.179382,-0.967346
1525807147715621,-0.048645,0.172302,-0.179077,-0.967468
1525807147738599,-0.0470581,0.173157,-0.178772,-0.967407
1525807147761598,-0.0446777,0.174377,-0.178528,-0.967346
1525807147775598,-0.0428467,0.175171,-0.17804,-0.967407
1525807147798664,-0.0446167,0.174438,-0.178223,-0.967407
1525807147820753,-0.0473633,0.173645,-0.178833,-0.967285
1525807147835754,-0.0479126,0.173523,-0.179016,-0.967285
1525807147858729,-0.0466309,0.173889,-0.17865,-0.967346
1525807147880743,-0.0454712,0.17395,-0.178284,-0.967468
1525807147895726,-0.0445557,0.174316,-0.178162,-0.967468
1525807147918821,-0.0440063,0.174316,-0.178162,-0.967468
1525807147941798,-0.0440674,0.174072,-0.178711,-0.967407
1525807147955829,-0.0452881,0.173035,-0.179749,-0.967346
1525807147978809,-0.0457153,0.172119,-0.180542,-0.967346
1525807148000820,-0.045105,0.172302,-0.180176,-0.967407
1525807148021813,-0.0453491,0.172974,-0.179688,-0.967346
1525807148038813,-0.0430298,0.173889,-0.179504,-0.967346
1525807148060809,-0.0410156,0.174866,-0.179077,-0.967346
1525807148081831,-0.0429688,0.174744,-0.179443,-0.967224
1525807148098833,-0.0454712,0.174133,-0.179993,-0.967102
1525807148120811,-0.0458984,0.173889,-0.180054,-0.967102
1525807148141830,-0.0445557,0.174072,-0.179749,-0.967163
1525807148165797,-0.0436401,0.174194,-0.179932,-0.967163
1525807148186813,-0.0436401,0.174194,-0.179932,-0.967163
1525807148201802,-0.0439453,0.173889,-0.180298,-0.967163
1525807148218813,-0.045166,0.173279,-0.181091,-0.967041
1525807148240823,-0.0457153,0.172607,-0.181458,-0.967102
1525807148261813,-0.0453491,0.172241,-0.181396,-0.967163
1525807148278894,-0.0449829,0.172729,-0.180969,-0.967163
1525807148300870,-0.0426636,0.173584,-0.180542,-0.967224
1525807148321879,-0.0421143,0.17395,-0.18042,-0.967224
1525807148338868,-0.0437012,0.173584,-0.180481,-0.967163
1525807148361878,-0.0455322,0.172974,-0.180725,-0.967163
1525807148381878,-0.0465088,0.172607,-0.180847,-0.967163
1525807148398868,-0.0455933,0.172668,-0.180664,-0.967224
1525807148420875,-0.0445557,0.172791,-0.180786,-0.967224
1525807148441899,-0.0443115,0.173157,-0.181274,-0.967102
1525807148458908,-0.0445557,0.173157,-0.181763,-0.96698
1525807148480885,-0.0458374,0.172424,-0.182434,-0.966919
1525807148503870,-0.0463867,0.171692,-0.182434,-0.967041
1525807148518906,-0.0463257,0.171143,-0.18219,-0.967163
1525807148540868,-0.0447388,0.171875,-0.181763,-0.967224
1525807148563868,-0.0426636,0.172791,-0.181335,-0.967224
1525807148577880,-0.0422974,0.173218,-0.181152,-0.967224
1525807148600875,-0.0443115,0.172607,-0.181335,-0.967163
1525807148623899,-0.0466309,0.171692,-0.181702,-0.967163
1525807148637941,-0.0466309,0.171692,-0.181519,-0.967224
1525807148660942,-0.0452271,0.172058,-0.181458,-0.967224
1525807148684005,-0.0445557,0.172363,-0.181702,-0.967102
1525807148697999,-0.0445557,0.172546,-0.182007,-0.967041
1525807148721068,-0.0459595,0.172058,-0.182739,-0.966919
1525807148744090,-0.0469971,0.171082,-0.183289,-0.966919
1525807148758062,-0.0478516,0.170654,-0.183228,-0.96698
1525807148781081,-0.0473022,0.170959,-0.182617,-0.967102
1525807148804100,-0.0452881,0.171814,-0.181946,-0.967163
1525807148818094,-0.0447388,0.172241,-0.181641,-0.967163
1525807148841064,-0.0457764,0.172119,-0.181763,-0.967102
1525807148871081,-0.0474854,0.171814,-0.182129,-0.967041
1525807148878077,-0.0482178,0.171692,-0.182434,-0.966919
1525807148901079,-0.0471802,0.171875,-0.182434,-0.96698
1525807148924067,-0.0465698,0.172058,-0.182556,-0.966919
1525807148938074,-0.0464478,0.172119,-0.182983,-0.966858
1525807148961150,-0.0470581,0.171814,-0.18335,-0.966797
1525807148984116,-0.0477905,0.170837,-0.18396,-0.966797
1525807149004256,-0.048645,0.170166,-0.183838,-0.966919
1525807149021256,-0.0482178,0.170044,-0.183228,-0.967102
1525807149043251,-0.0459595,0.170715,-0.182739,-0.967163
1525807149064274,-0.0446777,0.171204,-0.182556,-0.967163
1525807149082274,-0.0458984,0.170959,-0.182678,-0.967163
1525807149103282,-0.0480347,0.170349,-0.182922,-0.967102
1525807149124241,-0.0489502,0.170105,-0.183167,-0.967041
1525807149141311,-0.0482178,0.170654,-0.183044,-0.967041
1525807149163280,-0.0467529,0.171021,-0.183044,-0.967041
1525807149184345,-0.0466919,0.171021,-0.183044,-0.967041
1525807149201311,-0.0479126,0.17041,-0.183533,-0.96698
1525807149229312,-0.0491333,0.169739,-0.183533,-0.967041
1525807149244311,-0.0485229,0.169739,-0.183044,-0.967163
1525807149261318,-0.0467529,0.170349,-0.182373,-0.967285
1525807149283283,-0.0454712,0.170898,-0.182129,-0.967285
1525807149304312,-0.0466309,0.171021,-0.182312,-0.967163
1525807149321312,-0.0477905,0.170837,-0.182495,-0.967102
1525807149343281,-0.0485229,0.170471,-0.182678,-0.967102
1525807149364311,-0.0482788,0.170654,-0.182739,-0.967041
1525807149387312,-0.0470581,0.171082,-0.182739,-0.967041
1525807149403279,-0.0466309,0.171448,-0.183044,-0.96698
1525807149426383,-0.0472412,0.171021,-0.183289,-0.966919
1525807149441400,-0.0484009,0.170227,-0.183472,-0.96698
1525807149469417,-0.0476685,0.169983,-0.18335,-0.967102
1525807149486363,-0.0466309,0.170532,-0.182739,-0.967163
1525807149501389,-0.0452271,0.171143,-0.182312,-0.967224
1525807149523350,-0.045105,0.171509,-0.181824,-0.967224
1525807149546356,-0.0464478,0.171265,-0.181885,-0.967224
1525807149560354,-0.0480957,0.170715,-0.18219,-0.967163
1525807149583353,-0.0487061,0.17041,-0.182251,-0.967163
1525807149606383,-0.0479126,0.170593,-0.182129,-0.967224
1525807149620373,-0.0471802,0.171082,-0.182312,-0.967102
1525807149643358,-0.0473022,0.171204,-0.182556,-0.967041
1525807149666383,-0.0483398,0.170166,-0.182861,-0.967102
1525807149680351,-0.0496216,0.169556,-0.182922,-0.967163
1525807149703385,-0.0487671,0.170044,-0.182251,-0.967224
1525807149709383,-0.0463867,0.170715,-0.181824,-0.967346
1525807149731352,-0.0458374,0.171204,-0.181641,-0.967285
1525807149748416,-0.046814,0.171082,-0.181702,-0.967285
1525807149769365,-0.0483398,0.170776,-0.182068,-0.967163
1525807149793383,-0.0488892,0.170898,-0.182312,-0.967102
1525807149808366,-0.0479126,0.171265,-0.182251,-0.967041
1525807149829450,-0.0472412,0.171265,-0.182434,-0.967041
1525807149851473,-0.0478516,0.170532,-0.1828,-0.967102
1525807149868526,-0.0490723,0.169678,-0.182983,-0.967163
1525807149889516,-0.0490723,0.169495,-0.182922,-0.967224
1525807149911532,-0.0476074,0.170105,-0.182678,-0.967224
1525807149928550,-0.0460205,0.170837,-0.182617,-0.967163
1525807149949515,-0.0458374,0.171265,-0.182678,-0.967102
1525807149971531,-0.0469971,0.171143,-0.182983,-0.96698
1525807149987635,-0.0482178,0.170654,-0.183289,-0.96698
1525807150008572,-0.0484619,0.170288,-0.183533,-0.96698
1525807150031587,-0.0475464,0.170227,-0.183533,-0.967041
1525807150049588,-0.0469971,0.170105,-0.183655,-0.967041
1525807150068605,-0.0471191,0.16925,-0.184021,-0.967163
1525807150091702,-0.0477905,0.168579,-0.18396,-0.967224
1525807150107656,-0.0477295,0.16864,-0.183655,-0.967285
1525807150128649,-0.0455322,0.169678,-0.183533,-0.967224
1525807150151702,-0.0438232,0.170959,-0.183044,-0.967163
1525807150175669,-0.0445557,0.171021,-0.183105,-0.967102
1525807150188660,-0.0458984,0.17041,-0.183411,-0.967102
1525807150211666,-0.0465698,0.170105,-0.183472,-0.967102
1525807150227651,-0.0458984,0.170166,-0.183411,-0.967163
1525807150248649,-0.045105,0.170654,-0.18335,-0.967102
1525807150271721,-0.0449829,0.170654,-0.18335,-0.967102
1525807150287690,-0.0454712,0.170044,-0.183716,-0.967102
1525807150308754,-0.046814,0.169434,-0.184021,-0.967102
1525807150338787,-0.046875,0.169617,-0.18396,-0.967102
1525807150349755,-0.0450439,0.170715,-0.183411,-0.967102
1525807150368722,-0.041748,0.172119,-0.182617,-0.967163
